2007,Belgium,Natural gas,0.05
2008,Belgium,Natural gas,0.0729
2009,Belgium,Natural gas,0.0516
2010,Belgium,Natural gas,0.0604
2011,Belgium,Natural gas,0.0731
2012,Belgium,Natural gas,0.0734
2013,Belgium,Natural gas,0.0668
2014,Belgium,Natural gas,0.065
2007,Bulgaria,Natural gas,0.0323
2008,Bulgaria,Natural gas,0.0391
2009,Bulgaria,Natural gas,0.0348
2010,Bulgaria,Natural gas,0.0431
2011,Bulgaria,Natural gas,0.0472
2012,Bulgaria,Natural gas,0.0556
2013,Bulgaria,Natural gas,0.0518
2014,Bulgaria,Natural gas,0.0473
2007,Czech Republic,Natural gas,0.0362
2008,Czech Republic,Natural gas,0.0529
2009,Czech Republic,Natural gas,0.0472
2010,Czech Republic,Natural gas,0.0517
2011,Czech Republic,Natural gas,0.0595
2012,Czech Republic,Natural gas,0.0661
2013,Czech Republic,Natural gas,0.0575
2014,Czech Republic,Natural gas,0.0563
2007,Denmark,Natural gas,0.0885
2008,Denmark,Natural gas,0.0979
2009,Denmark,Natural gas,0.0851
2010,Denmark,Natural gas,0.0965
2011,Denmark,Natural gas,0.1029
2012,Denmark,Natural gas,0.0955
2013,Denmark,Natural gas,0.0977
2014,Denmark,Natural gas,0.0878
2007,Germany,Natural gas,0.0613
2008,Germany,Natural gas,0.0762
2009,Germany,Natural gas,0.0589
2010,Germany,Natural gas,0.0571
2011,Germany,Natural gas,0.064
2012,Germany,Natural gas,0.0648
2013,Germany,Natural gas,0.0689
2014,Germany,Natural gas,0.0681
2007,Estonia,Natural gas,0.0263
2008,Estonia,Natural gas,0.0371
2009,Estonia,Natural gas,0.0363
2010,Estonia,Natural gas,0.0401
2011,Estonia,Natural gas,0.0437
2012,Estonia,Natural gas,0.0518
2013,Estonia,Natural gas,0.0476
2014,Estonia,Natural gas,0.0494
2007,Ireland,Natural gas,0.0607
2008,Ireland,Natural gas,0.065
2009,Ireland,Natural gas,0.055
2010,Ireland,Natural gas,0.0527
2011,Ireland,Natural gas,0.0618
2012,Ireland,Natural gas,0.0672
2013,Ireland,Natural gas,0.0722
2014,Ireland,Natural gas,0.0745
2012,Greece,Natural gas,0.1017
2013,Greece,Natural gas,0.0888
2014,Greece,Natural gas,0.0798
2007,Spain,Natural gas,0.0581
2008,Spain,Natural gas,0.0653
2009,Spain,Natural gas,0.0535
2010,Spain,Natural gas,0.054
2011,Spain,Natural gas,0.054
2012,Spain,Natural gas,0.0863
2013,Spain,Natural gas,0.0892
2014,Spain,Natural gas,0.0959
2007,France,Natural gas,0.0515
2008,France,Natural gas,0.0578
2009,France,Natural gas,0.0583
2010,France,Natural gas,0.0575
2011,France,Natural gas,0.0646
2012,France,Natural gas,0.0682
2013,France,Natural gas,0.0729
2014,France,Natural gas,0.0762
2007,Croatia,Natural gas,0.0274
2008,Croatia,Natural gas,0.0277
2009,Croatia,Natural gas,0.0328
2010,Croatia,Natural gas,0.038
2011,Croatia,Natural gas,0.0372
2012,Croatia,Natural gas,0.0472
2013,Croatia,Natural gas,0.0468
2014,Croatia,Natural gas,0.0475
2007,Italy,Natural gas,0.0617
2008,Italy,Natural gas,0.072
2009,Italy,Natural gas,0.0534
2010,Italy,Natural gas,0.0787
2011,Italy,Natural gas,0.0875
2012,Italy,Natural gas,0.0968
2013,Italy,Natural gas,0.0946
2014,Italy,Natural gas,0.0951
2007,Latvia,Natural gas,0.0311
2008,Latvia,Natural gas,0.05
2009,Latvia,Natural gas,0.0379
2010,Latvia,Natural gas,0.0406
2011,Latvia,Natural gas,0.0457
2012,Latvia,Natural gas,0.056
2013,Latvia,Natural gas,0.0504
2014,Latvia,Natural gas,0.0488
2007,Lithuania,Natural gas,0.0235
2008,Lithuania,Natural gas,0.0382
2009,Lithuania,Natural gas,0.0406
2010,Lithuania,Natural gas,0.0453
2011,Lithuania,Natural gas,0.054
2012,Lithuania,Natural gas,0.0611
2013,Lithuania,Natural gas,0.0614
2014,Lithuania,Natural gas,0.0499
2007,Luxembourg,Natural gas,0.0364
2008,Luxembourg,Natural gas,0.0514
2009,Luxembourg,Natural gas,0.0461
2010,Luxembourg,Natural gas,0.0473
2011,Luxembourg,Natural gas,0.0579
2012,Luxembourg,Natural gas,0.0594
2013,Luxembourg,Natural gas,0.0566
2014,Luxembourg,Natural gas,0.0514
2007,Hungary,Natural gas,0.0382
2008,Hungary,Natural gas,0.0465
2009,Hungary,Natural gas,0.0476
2010,Hungary,Natural gas,0.0554
2011,Hungary,Natural gas,0.057
2012,Hungary,Natural gas,0.0517
2013,Hungary,Natural gas,0.042
2014,Hungary,Natural gas,0.0351
2007,Netherlands,Natural gas,0.0707
2008,Netherlands,Natural gas,0.0757
2009,Netherlands,Natural gas,0.0675
2010,Netherlands,Natural gas,0.0665
2011,Netherlands,Natural gas,0.0741
2012,Netherlands,Natural gas,0.0844
2013,Netherlands,Natural gas,0.0846
2014,Netherlands,Natural gas,0.082
2007,Austria,Natural gas,0.061
2008,Austria,Natural gas,0.0616
2009,Austria,Natural gas,0.062
2010,Austria,Natural gas,0.0602
2011,Austria,Natural gas,0.0721
2012,Austria,Natural gas,0.0763
2013,Austria,Natural gas,0.0754
2014,Austria,Natural gas,0.073
2007,Poland,Natural gas,0.0401
2008,Poland,Natural gas,0.0515
2009,Poland,Natural gas,0.046
2010,Poland,Natural gas,0.0505
2011,Poland,Natural gas,0.05
2012,Poland,Natural gas,0.0576
2013,Poland,Natural gas,0.0509
2014,Poland,Natural gas,0.05
2007,Portugal,Natural gas,0.0653
2008,Portugal,Natural gas,0.0629
2009,Portugal,Natural gas,0.0595
2010,Portugal,Natural gas,0.063
2011,Portugal,Natural gas,0.0738
2012,Portugal,Natural gas,0.0853
2013,Portugal,Natural gas,0.0933
2014,Portugal,Natural gas,0.1039
2007,Romania,Natural gas,0.0342
2008,Romania,Natural gas,0.0336
2009,Romania,Natural gas,0.0268
2010,Romania,Natural gas,0.0278
2011,Romania,Natural gas,0.0276
2012,Romania,Natural gas,0.0274
2013,Romania,Natural gas,0.0307
2014,Romania,Natural gas,0.0319
2007,Slovenia,Natural gas,0.0509
2008,Slovenia,Natural gas,0.0712
2009,Slovenia,Natural gas,0.0539
2010,Slovenia,Natural gas,0.0673
2011,Slovenia,Natural gas,0.0792
2012,Slovenia,Natural gas,0.073
2013,Slovenia,Natural gas,0.071
